Teams_host,Unnamed: 1,Teams_guest,host,guest
0,vs,14,2.0,0.0
1,vs,17,4.0,3.0
16,vs,11,2.0,1.0
18,vs,9,0.0,4.0
5,vs,7,4.0,0.0
13,vs,0,1.0,4.0
3,vs,4,2.0,1.0
2,vs,12,1.0,2.0
14,vs,15,0.0,2.0
10,vs,8,2.0,1.0
19,vs,1,0.0,1.0
6,vs,17,1.0,0.0
12,vs,0,0.0,2.0
1,vs,2,3.0,0.0
0,vs,11,2.0,0.0
9,vs,12,0.0,0.0
15,vs,6,1.0,0.0
3,vs,13,2.0,2.0
4,vs,19,2.0,2.0
7,vs,14,0.0,2.0
8,vs,17,3.0,0.0
10,vs,5,5.0,0.0
18,vs,16,,0.0
17,vs,9,0.0,1.0
16,vs,0,2.0,0.0
6,vs,1,0.0,3.0
2,vs,10,2.0,2.0
11,vs,15,1.0,1.0
5,vs,4,0.0,2.0
12,vs,7,0.0,2.0
13,vs,18,0.0,0.0
14,vs,3,0.0,1.0
19,vs,8,0.0,1.0
10,vs,11,0.0,0.0
5,vs,16,0.0,1.0
0,vs,8,1.0,0.0
2,vs,14,1.0,0.0
1,vs,12,4.0,2.0
9,vs,5,1.0,2.0
4,vs,11,0.0,2.0
3,vs,2,3.0,0.0
7,vs,17,2.0,0.0
15,vs,13,2.0,0.0
18,vs,6,0.0,0.0
2,vs,0,1.0,2.0
11,vs,1,2.0,0.0
19,vs,9,0.0,1.0
12,vs,10,0.0,3.0
5,vs,8,2.0,2.0
6,vs,4,3.0,1.0
13,vs,7,3.0,1.0
14,vs,18,2.0,2.0
17,vs,15,1.0,0.0
16,vs,3,4.0,0.0
5,vs,0,3.0,0.0
6,vs,8,4.0,2.0
14,vs,11,0.0,3.0
3,vs,1,1.0,3.0
10,vs,7,3.0,1.0
2,vs,4,0.0,0.0
13,vs,9,1.0,2.0
19,vs,12,0.0,1.0
18,vs,15,1.0,0.0
16,vs,17,4.0,0.0
1,vs,10,2.0,1.0
9,vs,3,2.0,2.0
0,vs,18,3.0,0.0
7,vs,2,4.0,2.0
15,vs,16,1.0,3.0
12,vs,5,3.0,1.0
11,vs,6,1.0,1.0
4,vs,13,1.0,0.0
8,vs,14,2.0,0.0
17,vs,19,2.0,0.0
0,vs,10,2.0,2.0
15,vs,2,0.0,0.0
12,vs,3,0.0,0.0
4,vs,16,0.0,2.0
1,vs,5,1.0,2.0
7,vs,18,2.0,1.0
8,vs,13,2.0,0.0
11,vs,19,0.0,0.0
17,vs,14,1.0,0.0
9,vs,6,3.0,1.0
10,vs,9,1.0,1.0
16,vs,12,2.0,1.0
2,vs,11,1.0,3.0
3,vs,15,2.0,0.0
5,vs,17,1.0,0.0
6,vs,7,4.0,0.0
13,vs,1,1.0,2.0
14,vs,4,0.0,0.0
18,vs,8,2.0,3.0
19,vs,0,3.0,1.0
9,vs,4,2.0,1.0
3,vs,18,3.0,2.0
6,vs,19,3.0,0.0
7,vs,15,2.0,1.0
10,vs,13,0.0,0.0
18,vs,1,1.0,2.0
14,vs,10,0.0,2.0
16,vs,6,3.0,2.0
9,vs,0,3.0,1.0
8,vs,7,3.0,1.0
13,vs,2,2.0,0.0
15,vs,4,3.0,2.0
17,vs,12,3.0,4.0
19,vs,5,0.0,2.0
11,vs,3,1.0,1.0
8,vs,9,3.0,1.0
16,vs,13,4.0,0.0
17,vs,18,1.0,1.0
1,vs,15,3.0,1.0
5,vs,2,1.0,0.0
6,vs,14,2.0,0.0
7,vs,4,1.0,1.0
19,vs,3,2.0,1.0
3,vs,10,0.0,2.0
15,vs,8,2.0,0.0
4,vs,1,1.0,1.0
9,vs,16,2.0,0.0
11,vs,17,2.0,0.0
2,vs,6,0.0,0.0
13,vs,5,1.0,0.0
14,vs,12,0.0,4.0
18,vs,19,2.0,2.0
0,vs,7,2.0,0.0
8,vs,11,0.0,3.0
10,vs,15,2.0,1.0
16,vs,2,1.0,0.0
5,vs,14,0.0,4.0
6,vs,3,6.0,3.0
7,vs,9,2.0,0.0
12,vs,18,1.0,3.0
17,vs,4,2.0,1.0
19,vs,13,1.0,0.0
1,vs,0,3.0,1.0
11,vs,7,0.0,0.0
13,vs,6,1.0,1.0
18,vs,10,0.0,4.0
9,vs,1,1.0,1.0
0,vs,17,1.0,2.0
3,vs,5,0.0,2.0
4,vs,8,1.0,0.0
2,vs,19,1.0,1.0
14,vs,16,0.0,0.0
15,vs,12,2.0,1.0
1,vs,7,2.0,0.0
0,vs,4,2.0,1.0
12,vs,8,3.0,0.0
10,vs,16,2.0,2.0
3,vs,17,2.0,2.0
5,vs,6,0.0,1.0
2,vs,18,1.0,3.0
13,vs,11,1.0,1.0
19,vs,14,2.0,0.0
9,vs,15,2.0,3.0
11,vs,9,1.0,1.0
6,vs,10,3.0,0.0
8,vs,1,0.0,3.0
4,vs,12,1.0,0.0
7,vs,3,3.0,1.0
14,vs,13,1.0,3.0
15,vs,0,0.0,4.0
17,vs,2,0.0,0.0
18,vs,5,3.0,0.0
16,vs,19,4.0,0.0
16,vs,1,2.0,0.0
5,vs,15,1.0,2.0
13,vs,17,2.0,0.0
3,vs,0,3.0,3.0
18,vs,11,0.0,2.0
6,vs,12,3.0,0.0
10,vs,4,2.0,1.0
14,vs,9,2.0,2.0
19,vs,7,3.0,1.0
2,vs,8,0.0,0.0
0,vs,5,2.0,0.0
17,vs,16,1.0,3.0
9,vs,10,1.0,0.0
4,vs,14,4.0,1.0
1,vs,13,4.0,2.0
8,vs,18,1.0,0.0
11,vs,2,2.0,1.0
12,vs,19,1.0,2.0
15,vs,3,0.0,3.0
7,vs,6,2.0,2.0
12,vs,16,1.0,4.0
9,vs,13,4.0,1.0
7,vs,10,0.0,3.0
0,vs,19,1.0,0.0
4,vs,2,1.0,0.0
1,vs,3,3.0,0.0
8,vs,6,0.0,2.0
11,vs,14,3.0,1.0
15,vs,18,1.0,4.0
17,vs,5,1.0,1.0
6,vs,9,0.0,1.0
10,vs,0,2.0,1.0
16,vs,4,2.0,1.0
3,vs,12,1.0,3.0
19,vs,11,0.0,2.0
2,vs,15,3.0,0.0
13,vs,8,2.0,2.0
14,vs,17,1.0,0.0
18,vs,7,1.0,0.0
5,vs,1,0.0,1.0
19,vs,15,3.0,1.0
5,vs,11,1.0,2.0
10,vs,17,2.0,0.0
13,vs,12,0.0,0.0
16,vs,7,3.0,0.0
14,vs,1,0.0,1.0
18,vs,4,1.0,0.0
2,vs,9,0.0,3.0
3,vs,8,1.0,0.0
6,vs,0,2.0,1.0
9,vs,18,2.0,2.0
11,vs,16,1.0,0.0
12,vs,2,1.0,0.0
1,vs,19,1.0,0.0
8,vs,10,4.0,2.0
0,vs,13,3.0,1.0
4,vs,3,3.0,2.0
7,vs,5,3.0,3.0
15,vs,14,3.0,0.0
17,vs,6,3.0,2.0
2,vs,7,1.0,0.0
6,vs,11,1.0,1.0
3,vs,9,4.0,3.0
18,vs,0,1.0,5.0
5,vs,12,3.0,0.0
13,vs,4,2.0,0.0
14,vs,8,2.0,1.0
16,vs,15,5.0,0.0
19,vs,17,3.0,1.0
10,vs,1,1.0,3.0
11,vs,18,1.0,1.0
12,vs,6,1.0,0.0
0,vs,3,3.0,1.0
17,vs,13,0.0,1.0
1,vs,16,2.0,1.0
7,vs,19,1.0,1.0
8,vs,2,2.0,1.0
9,vs,14,2.0,0.0
15,vs,5,5.0,4.0
4,vs,10,1.0,2.0
19,vs,4,4.0,0.0
2,vs,1,0.0,1.0
16,vs,18,3.0,2.0
5,vs,10,1.0,2.0
6,vs,15,1.0,1.0
12,vs,9,0.0,0.0
13,vs,3,0.0,1.0
14,vs,7,3.0,0.0
17,vs,8,2.0,1.0
11,vs,0,1.0,1.0
8,vs,19,1.0,2.0
15,vs,11,1.0,3.0
7,vs,12,2.0,1.0
9,vs,17,6.0,1.0
0,vs,16,1.0,1.0
1,vs,6,5.0,0.0
3,vs,14,1.0,2.0
4,vs,5,3.0,2.0
10,vs,2,1.0,1.0
18,vs,13,1.0,1.0
13,vs,15,3.0,1.0
12,vs,1,0.0,2.0
6,vs,18,2.0,0.0
5,vs,9,2.0,4.0
11,vs,4,0.0,0.0
2,vs,3,2.0,0.0
16,vs,8,1.0,1.0
17,vs,7,1.0,0.0
19,vs,10,0.0,4.0
14,vs,0,1.0,4.0
1,vs,11,4.0,0.0
10,vs,12,1.0,1.0
9,vs,19,2.0,1.0
0,vs,2,0.0,0.0
4,vs,6,2.0,1.0
7,vs,13,0.0,2.0
8,vs,5,3.0,1.0
15,vs,17,0.0,0.0
18,vs,14,1.0,0.0
3,vs,16,0.0,0.0
9,vs,11,0.0,0.0
12,vs,4,3.0,1.0
2,vs,17,0.0,1.0
5,vs,18,0.0,1.0
0,vs,15,3.0,2.0
3,vs,7,6.0,1.0
10,vs,6,1.0,1.0
13,vs,14,2.0,0.0
19,vs,16,1.0,1.0
1,vs,8,3.0,0.0
4,vs,0,0.0,1.0
8,vs,12,0.0,0.0
16,vs,10,2.0,0.0
11,vs,13,1.0,1.0
7,vs,1,0.0,2.0
14,vs,19,1.0,1.0
17,vs,3,2.0,2.0
18,vs,2,1.0,1.0
15,vs,9,1.0,2.0
6,vs,5,1.0,1.0
4,vs,17,2.0,0.0
18,vs,12,0.0,3.0
0,vs,1,3.0,0.0
3,vs,6,1.0,0.0
9,vs,7,5.0,1.0
2,vs,16,1.0,2.0
13,vs,19,1.0,1.0
14,vs,5,2.0,3.0
15,vs,10,1.0,3.0
11,vs,8,4.0,1.0
16,vs,14,1.0,0.0
5,vs,13,4.0,1.0
12,vs,15,1.0,0.0
17,vs,11,3.0,1.0
6,vs,2,3.0,1.0
7,vs,0,1.0,4.0
8,vs,4,3.0,0.0
10,vs,3,4.0,0.0
19,vs,18,4.0,2.0
1,vs,9,1.0,2.0
14,vs,6,0.0,3.0
15,vs,1,2.0,2.0
9,vs,8,4.0,1.0
0,vs,12,2.0,1.0
3,vs,19,1.0,0.0
4,vs,7,1.0,1.0
2,vs,5,1.0,2.0
13,vs,16,0.0,4.0
18,vs,17,2.0,4.0
11,vs,10,1.0,2.0
10,vs,18,3.0,1.0
19,vs,2,0.0,0.0
7,vs,11,0.0,1.0
1,vs,4,3.0,0.0
5,vs,3,1.0,1.0
6,vs,13,1.0,0.0
8,vs,15,2.0,1.0
12,vs,14,1.0,1.0
17,vs,0,1.0,3.0
16,vs,9,1.0,1.0
18,vs,3,1.0,0.0
14,vs,2,1.0,2.0
8,vs,0,0.0,0.0
4,vs,9,2.0,0.0
15,vs,7,0.0,2.0
16,vs,5,1.0,0.0
17,vs,1,1.0,2.0
19,vs,6,1.0,2.0
13,vs,10,1.0,4.0
11,vs,12,2.0,0.0
1,vs,18,2.0,1.0
0,vs,9,3.0,4.0
3,vs,11,1.0,3.0
10,vs,14,2.0,1.0
4,vs,15,0.0,1.0
5,vs,19,0.0,1.0
6,vs,16,1.0,1.0
2,vs,13,1.0,1.0
12,vs,17,1.0,1.0
7,vs,8,2.0,1.0
